Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
12.2 AI Assistant (AIEditbeta),Chrome 115.0.0.0,,,2023-08-03 20:34:34,2023-08-03 20:39:43,5m - 8.958s,FAILED
,,,,,,,
Test Cases/12- AI assistant (beta)/12.2-AI Edit (beta)/01-Run AI Edit,Chrome 115.0.0.0,,,2023-08-03 20:34:35,2023-08-03 20:39:38,5m - 3.219s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-03 20:34:35,2023-08-03 20:34:37,2.057s,PASSED
navigateToUrl(app_url_login),Chrome 115.0.0.0,,,2023-08-03 20:34:37,2023-08-03 20:39:38,5m - 0.896s,FAILED
,,,,,,,
Test Cases/12- AI assistant (beta)/12.2-AI Edit (beta)/02-If Input content is empty but edit instruction has and Vice versa,Chrome 115.0.0.0,,,2023-08-03 20:39:38,2023-08-03 20:39:43,5.556s,FAILED
"setText(findTestObject(""12-AI Assistant(beta)/12.2-AI Edit(beta)/Input content""), ""Clock is gold"")",Chrome 115.0.0.0,,,2023-08-03 20:39:38,2023-08-03 20:39:43,5.363s,FAILED
