Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
10-Open Video Conference,Chrome 115.0.0.0,,,2023-08-04 18:25:02,2023-08-04 18:29:12,4m - 10.682s,PASSED
,,,,,,,
Test Cases/10-Open Video Conference/01-Blank Fields,Chrome 115.0.0.0,,,2023-08-04 18:25:02,2023-08-04 18:27:32,2m - 30.208s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-04 18:25:02,2023-08-04 18:25:04,1.914s,PASSED
navigateToUrl(appURL),Chrome 115.0.0.0,,,2023-08-04 18:25:04,2023-08-04 18:25:15,11.015s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-04 18:25:15,2023-08-04 18:25:15,0.130s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-04 18:25:15,2023-08-04 18:26:17,1m - 2.265s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 115.0.0.0,,,2023-08-04 18:26:17,2023-08-04 18:26:19,1.437s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 115.0.0.0,,,2023-08-04 18:26:19,2023-08-04 18:26:20,0.988s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Automation Test Org""))",Chrome 115.0.0.0,,,2023-08-04 18:26:20,2023-08-04 18:26:21,1.049s,PASSED
delay(delay_4seconds),Chrome 115.0.0.0,,,2023-08-04 18:26:21,2023-08-04 18:26:25,4.002s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/span_Automation Test Org""))",Chrome 115.0.0.0,,,2023-08-04 18:26:25,2023-08-04 18:26:25,0.415s,PASSED
delay(delay_5seconds),Chrome 115.0.0.0,,,2023-08-04 18:26:25,2023-08-04 18:26:30,5.004s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Open Video Conference""))",Chrome 115.0.0.0,,,2023-08-04 18:26:30,2023-08-04 18:26:31,0.450s,PASSED
"verifyElementVisible(findTestObject(""10-Open Video Conference/h4_OPEN VIDEO CONFERENCE""))",Chrome 115.0.0.0,,,2023-08-04 18:26:31,2023-08-04 18:26:32,0.910s,PASSED
"verifyElementVisible(findTestObject(""10-Open Video Conference/span_warning""))",Chrome 115.0.0.0,,,2023-08-04 18:26:32,2023-08-04 18:26:32,0.339s,PASSED
"click(findTestObject(""10-Open Video Conference/a_chat""))",Chrome 115.0.0.0,,,2023-08-04 18:26:32,2023-08-04 18:26:33,0.986s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-08-04 18:26:33,2023-08-04 18:26:36,3.005s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Open Video Conference""))",Chrome 115.0.0.0,,,2023-08-04 18:26:36,2023-08-04 18:27:06,30.389s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-08-04 18:27:06,2023-08-04 18:27:09,3.006s,PASSED
"verifyElementVisible(findTestObject(""10-Open Video Conference/h5_Meeting Title""))",Chrome 115.0.0.0,,,2023-08-04 18:27:09,2023-08-04 18:27:10,0.359s,PASSED
