Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
12.1- AI Assistant (ChatGPTbeta),Chrome 115.0.0.0,,,2023-08-07 20:05:19,2023-08-07 20:07:10,1m - 50.910s,PASSED
,,,,,,,
Test Cases/12- AI assistant (beta)/12.1-ChatGPT (beta)/01-Empty inquiry content and proceed asking,Chrome 115.0.0.0,,,2023-08-07 20:05:19,2023-08-07 20:06:54,1m - 34.759s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-07 20:05:20,2023-08-07 20:05:22,1.866s,PASSED
navigateToUrl(app_url_login),Chrome 115.0.0.0,,,2023-08-07 20:05:22,2023-08-07 20:05:34,11.946s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-07 20:05:34,2023-08-07 20:05:34,0.142s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-07 20:05:34,2023-08-07 20:06:33,59.383s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 115.0.0.0,,,2023-08-07 20:06:33,2023-08-07 20:06:35,2.171s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 115.0.0.0,,,2023-08-07 20:06:35,2023-08-07 20:06:36,0.949s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Automation Test Org""))",Chrome 115.0.0.0,,,2023-08-07 20:06:36,2023-08-07 20:06:37,1.203s,PASSED
delay(delay_4seconds),Chrome 115.0.0.0,,,2023-08-07 20:06:37,2023-08-07 20:06:41,4.007s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/span_Automation Test Org""))",Chrome 115.0.0.0,,,2023-08-07 20:06:41,2023-08-07 20:06:42,0.335s,PASSED
delay(delay_5seconds),Chrome 115.0.0.0,,,2023-08-07 20:06:42,2023-08-07 20:06:47,5.013s,PASSED
"scrollToElement(findTestObject(""12-AI Assistant(beta)/AI asst button-Side panel""), 30)",Chrome 115.0.0.0,,,2023-08-07 20:06:47,2023-08-07 20:06:47,0.312s,PASSED
"click(findTestObject(""12-AI Assistant(beta)/AI asst button-Side panel""))",Chrome 115.0.0.0,,,2023-08-07 20:06:47,2023-08-07 20:06:47,0.344s,PASSED
"verifyElementVisible(findTestObject(""12-AI Assistant(beta)/AI asst button-Side panel""))",Chrome 115.0.0.0,,,2023-08-07 20:06:47,2023-08-07 20:06:48,0.901s,PASSED
delay(delay_3seconds),Chrome 115.0.0.0,,,2023-08-07 20:06:48,2023-08-07 20:06:51,3.010s,PASSED
"click(findTestObject(""12-AI Assistant(beta)/12.1-Chat GPT(beta)/Chat GPT (beta)""))",Chrome 115.0.0.0,,,2023-08-07 20:06:51,2023-08-07 20:06:52,0.464s,PASSED
"verifyElementText(findTestObject(""12-AI Assistant(beta)/h4_AI ASSISTANT (BETA)""), ""AI ASSISTANT (BETA)"")",Chrome 115.0.0.0,,,2023-08-07 20:06:52,2023-08-07 20:06:53,1.120s,PASSED
"setText(findTestObject(""12-AI Assistant(beta)/12.1-Chat GPT(beta)/Ask me anything input field""), """")",Chrome 115.0.0.0,,,2023-08-07 20:06:53,2023-08-07 20:06:54,0.670s,PASSED
"click(findTestObject(""12-AI Assistant(beta)/12.1-Chat GPT(beta)/Ask ChatGPT button""))",Chrome 115.0.0.0,,,2023-08-07 20:06:54,2023-08-07 20:06:54,0.332s,PASSED
